year,color,actor,eventType,description
1602,#74436C,Americas,7,Bartholomew Gosnold attempts to colonize Nashua
1605,#458867,France,4,First permanent french settlement at Port Royal in Acadia (Canada)
1605,#8D2B1D,England,7,George Weymouth's voyage to the Americas and piracy
1607,#8D2B1D,England,4,"Jamestown, Virginia, the first permanent English colony "
1608,#458867,France,4,Samuel de Champlain founds Quebec
1608,#74436C,Americas,7,Pocahontas saves Captain Smith
1613,#8D2B1D,England,0,English first attack French at Port Royal
1613,#74436C,Americas,2,Pocahontas captured
1613,#74436C,Americas,7,Pocahontas marries John Rolfe
1615,#9CB23E,Holland,4,Dutch settle on the Hudson and Manhattan Island
1620,#8D2B1D,England,4,Pilgrims settle Plymouth
1620,#74436C,Americas,5,First slaves in Virginia
1622,#74436C,Americas,8,Pocahontas dies in England
1622,#74436C,Americas,0,Native Americans attack Jamestown
1622,#74436C,Americas,0,Second Anglo-Powhatan War; English begin to conquer Native Americans
1622,#8D2B1D,England,1,Second Anglo-Powhatan War; English begin to conquer Native Americans
1623,#8D2B1D,England,4,English settle shores of New Hampshire and Maine
1629,#8D2B1D,England,1,English take Quebec from the French
1629,#458867,France,2,English take Quebec from the French
1629,#8D2B1D,England,5,English and French come to a peace agreement
1629,#458867,France,5,English and French come to a peace agreement
1630,#458867,France,4,French found Montreal
1630,#458867,France,7,De Vries' voyage to Delaware
1634,#8D2B1D,England,4,Catholics settle Maryland
1635,#74436C,Americas,4,Pilgrims from Massachusetts settle Connecticut
1636,#8D2B1D,England,4,Roger Williams settles Rhode Island
1636,#74436C,Americas,5,Harvard founded
1637,#BF602E,Sweden,4,Swedish and Finnish colonize on the Delaware River
1644,#74436C,Americas,0,Third Anglo-Powhatan War
1644,#8D2B1D,England,0,Third Anglo-Powhatan War
1644,#74436C,Americas,0,Dutch and Algonquians battle over New Netherland (New York)
1644,#9CB23E,Holland,0,Dutch and Algonquians battle over New Netherland (New York)
1645,#9CB23E,Holland,5,Dutch treaty with the Alongonquins
1645,#74436C,Americas,5,Dutch treaty with the Alongonquins
1655,#9CB23E,Holland,1,New Netherlands conquers New Sweden
1655,#BF602E,Sweden,1,New Netherland conquers New Sweden
1659,#74436C,Americas,5,General persecution of the Quakers
1659,#74436C,Americas,8,English Quaker Mary Dyer executed
1663,#74436C,Americas,4,Quakers settle North Carolina
1664,#9CB23E,Holland,2,New Netherlands surrended to the English
1665,#8D2B1D,England,4,New Jersey granted to Berkeley and Carteret
1670,#8D2B1D,England,4,South Carolina settled
1670,#8D2B1D,England,5,John Locke plans The Grand Model for South Carolina
1675,#74436C,Americas,0,King Philip's War with Native Americans
1675,#8D2B1D,England,0,King Philip's War with Native Americans
1675,#8D2B1D,England,8,King Philip dies
1676,#8D2B1D,England,0,War with Native Americans in Virginia
1676,#74436C,Americas,0,War with Native Americans in Virginia
1676,#8D2B1D,England,0,Bacon's Rebellion against Virginia governor William Berkeley
1676,#74436C,Americas,0,Bacon's Rebellion against Virginia governor William Berkeley
1676,#74436C,Americas,8,Nathaniel Bacon dies
1681,#8D2B1D,England,4,William Penn founds Pennsylvania and Delaware
1682,#458867,France,7,La Salle sails the Mississippi
1686,#458867,France,4,Founding of Fort Niagara
1686,#8D2B1D,England,5,Sir Edmund Andros becomes governor of the Dominion of New England
1686,#74436C,Americas,5,Sir Edmund Andros becomes governor of the Dominion of New England
1689,#8D2B1D,England,0,King William's War
1689,#458867,France,0,King William's War
1689,#74436C,Americas,0,King William's War
1690,#8D2B1D,England,2,French and Native Americans burn Schenectady
1690,#458867,France,0,French and Native Americans burn Schenectady
1690,#74436C,Americas,0,French and Native Americans burn Schenectady
1691,#74436C,Americas,5,Delaware separated from Pennsylvania
1691,#74436C,Americas,5,College of William and Mary founded in Virginia
1692,#74436C,Americas,5,"22 ""witches"" executed in Massachusetts"
1697,#8D2B1D,England,5,Peace of Ryswick ends King William's War
1697,#458867,France,5,Peace of Ryswick ends King William's War
1699,#458867,France,4,Biloxi founded on the Mississippi
