year,color,actor,eventType,description
1501,#8D2B1D,England,5,Henry VII. grants patent for colonizing America.
1512,#2B4461,Spain,7,Ponce de Leon discovers Florida.
1517,#8D2B1D,England,7, Sebastian Cabot's last voyage in the English service.
1520,#2B4461,Spain,7,Vasquez de Ayllon's Piracy on Chicora.
1523,#458867,France,7,Verrazzani explores American coasts for France.
1525,#2B4461,Spain,7,Stephen Gomez tries to discover North West Passage to India for Spain.
1526,#2B4461,Spain,7,Pamphilo de Narvaez attempts to conquer Florida.
1534,#458867,France,7,James Cartier discovers River St. Lawrence.
1537,#2B4461,Spain,7,Ferdinand de Soto attempts to conquer Florida.
1540,#458867,France,8,Roberval and Cartier try in vain to colonize Canada.
1542,#2B4461,Spain,8,Ferdinand de Soto dies on the Mississippi.
1562,#458867,France,7,Coligny sends a Huguenot Colony to America.
1565,#2B4461,Spain,0,"St. Augustine, founded by the Spanish Melendez, who conquers the French colony."
1565,#2B4461,Spain,1,"St. Augustine, founded by the Spanish Melendez, who conquers the French colony."
1565,#2B4461,Spain,4,"St. Augustine, founded by the Spanish Melendez, who conquers the French colony."
1565,#2B4461,Spain,7,"St. Augustine, founded by the Spanish Melendez, who conquers the French colony."
1565,#458867,France,1,"St. Augustine, founded by the Spanish Melendez, who conquers the French colony."
1565,#458867,France,2,"St. Augustine, founded by the Spanish Melendez, who conquers the French colony."
1576,#8D2B1D,England,7,Martin Frobisher renews English Explorations.
1578,#8D2B1D,England,7,Sir Humphrey Gilbert's Voyage and Death.
1579,#8D2B1D,England,7,"Sir Francis Drake discovers Oregon, and names it New Albion."
1584,#8D2B1D,England,7,Sir Walter Raleigh gets patent to colonize.
1585,#8D2B1D,England,7,"Sir W. R.'s unsuccessful colony at Roanoke, carried out by Sir Richard Grenville."
